FNR,KNR,REG,TYP,HA0,LSK,STT,ITT,POS,TER,MAD,SAA
LH 2309 ,386602,DAILA ,A319,,F,16.10.2023 00:00:00,16.10.2023 00:20:00,210B,,GH  ,88
LH 2304 ,386603,DAILA ,A319,,N,16.10.2023 00:15:00,16.10.2023 00:30:00,H11B,,GH  ,49
LH 2334 ,389334,DHBPB ,EC35,MUC ,L,16.10.2023 00:20:00,,M3P ,,GH  ,49
LH 2075 ,389337,DAIDJ ,A321,,F,16.10.2023 02:30:00,16.10.2023 02:33:00,H15B,,GH  ,88
LH 2075 ,389338,DAIDJ ,A321,,N,16.10.2023 02:45:00,16.10.2023 02:43:00,M18 ,,GH  ,49
LH 2075 ,389335,DAIDJ ,A321,,F,16.10.2023 03:00:00,,M18 ,,GH  ,99
LH 2075 ,389336,DAIDJ ,A321,,N,16.10.2023 03:15:00,,M18 ,,GH  ,99
LH 2185 ,386488,DAILS ,A319,,F,16.10.2023 03:45:00,16.10.2023 03:13:00,H46B,,GH  ,88
DE  154E,386634,DAICG ,A320,,F,16.10.2023 03:55:00,16.10.2023 02:42:00,H41B,,GH  ,88
LH 2185 ,386489,DAILS ,A319,,N,16.10.2023 04:00:00,16.10.2023 03:23:00,322 ,,GH  ,49
LH 2481 ,386521,DAINZ ,A20N,,F,16.10.2023 04:00:00,,215A,,GH  ,99
DE  154E,386632,DAICG ,A320,,F,16.10.2023 04:00:00,,H41B,,GH  ,99
LH 2237 ,386516,DAIWE ,A320,,F,16.10.2023 04:05:00,,223A,,GH  ,99
DE  154E,386635,DAICG ,A320,,N,16.10.2023 04:10:00,16.10.2023 02:52:00,191 ,,GH  ,49
X3 2845 ,389344,DABKI ,B738,,F,16.10.2023 04:15:00,16.10.2023 03:50:00,118 ,,SPL ,88
LH 2481 ,386522,DAINZ ,A20N,,N,16.10.2023 04:15:00,,372A,,GH  ,99
DE  154E,386633,DAICG ,A320,,N,16.10.2023 04:15:00,,H41B,,GH  ,99
LH 2237 ,386517,DAIWE ,A320,,N,16.10.2023 04:20:00,,223B,,GH  ,99
X3 2845 ,389340,DABKI ,B738,,F,16.10.2023 04:25:00,,118 ,,SPL ,99
X3 2845 ,389345,DABKI ,B738,HAJ ,N,16.10.2023 04:30:00,16.10.2023 04:00:00,196 ,,SPL ,49
X3 2845 ,389341,DABKI ,B738,,N,16.10.2023 04:40:00,,174 ,,SPL ,99
LH 1771 ,386644,DAIUV ,A320,,F,16.10.2023 04:50:00,,325 ,,GH  ,99
LH 2185 ,386490,DAILS ,A319,,F,16.10.2023 05:00:00,,322 ,,GH  ,99
LH 1771 ,386645,DAIUV ,A320,,N,16.10.2023 05:05:00,,325 ,,GH  ,99
LH 2185 ,386491,DAILS ,A319,,N,16.10.2023 05:15:00,,322 ,,GH  ,99
SRR6118 ,358106,OYSRU ,B763,CGN ,L,16.10.2023 05:15:00,16.10.2023 05:11:00,905 ,1,GH  ,49
LH  773 ,357233,DAIXB ,A359,BKK ,L,16.10.2023 05:20:00,16.10.2023 06:07:00,222A,2,GH  ,49
LH 2221 ,386573,DAIJJ ,A20N,,F,16.10.2023 05:30:00,16.10.2023 03:58:00,H43B,,GH  ,88
LH  767 ,357231,DAIVA ,A359,BOM ,L,16.10.2023 05:35:00,16.10.2023 06:01:00,250 ,2,GH  ,49
SK 3397 ,358019,DAIVA ,A359,BOM ,L,16.10.2023 05:35:00,16.10.2023 06:01:00,250 ,2,SPL ,49
AC 9585 ,356839,DAIVA ,A359,BOM ,L,16.10.2023 05:35:00,16.10.2023 06:01:00,250 ,2,SPL ,49
AI 8765 ,356869,DAIVA ,A359,BOM ,L,16.10.2023 05:35:00,16.10.2023 06:01:00,250 ,2,GH  ,49
LH 2221 ,386574,DAIJJ ,A20N,,N,16.10.2023 05:45:00,16.10.2023 04:08:00,201 ,,GH  ,49
LH 2027 ,386622,DAIUC ,A320,,F,16.10.2023 05:45:00,16.10.2023 05:08:00,H16B,,GH  ,88
X3 2845 ,389342,DABKI ,B738,,F,16.10.2023 05:50:00,,174 ,,SPL ,99
LH 2309 ,386604,DAILA ,A319,,F,16.10.2023 05:50:00,16.10.2023 05:39:00,H11B,,GH  ,88
X3 4806 ,359366,DAMAB ,B38M,KGS ,S,16.10.2023 05:50:00,16.10.2023 05:50:00,184 ,1,SPL ,88
DE 1130 ,358655,DAICI ,A320,PMI ,S,16.10.2023 05:50:00,16.10.2023 05:45:00,117B,1,GH  ,88
X3  122 ,359364,DATUA ,B738,DLM ,S,16.10.2023 05:50:00,16.10.2023 05:55:00,115A,1,SPL ,88
LH  122 ,386612,DAISI ,A321,,F,16.10.2023 05:55:00,16.10.2023 05:31:00,H16D,,GH  ,88
LH 1653 ,386639,DAIZP ,A320,,F,16.10.2023 05:55:00,16.10.2023 04:55:00,H14D,,GH  ,88
LH  763 ,357229,DAIVC ,A359,DEL ,L,16.10.2023 05:55:00,16.10.2023 06:34:00,249A,2,GH  ,49
SK 3599 ,358022,DAIVC ,A359,DEL ,L,16.10.2023 05:55:00,16.10.2023 06:34:00,249A,2,SPL ,49
DE 1508 ,358656,DABOI ,B753,PMI ,S,16.10.2023 05:55:00,16.10.2023 05:55:00,187 ,1,GH  ,88
AC 9587 ,356840,DAIVC ,A359,DEL ,L,16.10.2023 05:55:00,16.10.2023 06:34:00,249A,2,SPL ,49
AI 8763 ,356868,DAIVC ,A359,DEL ,L,16.10.2023 05:55:00,16.10.2023 06:34:00,249A,2,GH  ,49
LH 1835 ,386535,DAIDK ,A321,,F,16.10.2023 06:00:00,16.10.2023 05:31:00,312 ,,GH  ,88
LH 1829 ,386537,DAILB ,A319,,F,16.10.2023 06:00:00,,310 ,,GH  ,99
MBU6598 ,358892,ESMBA ,A20N,CHQ ,S,16.10.2023 06:00:00,16.10.2023 06:15:00,193 ,1,GH  ,88
LH 2027 ,386623,DAIUC ,A320,,N,16.10.2023 06:00:00,16.10.2023 05:18:00,202B,,GH  ,49
SRR6118 ,358107,OYSRU ,B763,ATH ,S,16.10.2023 06:00:00,16.10.2023 05:55:00,905 ,1,GH  ,88
X3 4292 ,359365,DATUJ ,B738,RHO ,S,16.10.2023 06:00:00,16.10.2023 06:50:00,174 ,1,SPL ,88
X3 2845 ,389343,DABKI ,B738,,N,16.10.2023 06:05:00,,174 ,,SPL ,99
LH  773 ,386512,DAIXB ,A359,,F,16.10.2023 06:05:00,16.10.2023 06:48:00,222A,,GH  ,99
AD 7328 ,358583,CSTVF ,A20N,LIS ,S,16.10.2023 06:05:00,16.10.2023 06:20:00,217B,2,GH  ,88
LH 2309 ,386605,DAILA ,A319,,N,16.10.2023 06:05:00,16.10.2023 05:49:00,210B,,GH  ,49
XQ  986 ,358416,TCSOG ,B738,ADB ,L,16.10.2023 06:05:00,16.10.2023 06:11:00,113B,1,SPL ,49
LH 9581 ,357783,TCSOG ,B738,ADB ,L,16.10.2023 06:05:00,16.10.2023 06:11:00,113B,1,SPL ,49
SK 3624 ,359051,DACNU ,CRJ9,ARN ,S,16.10.2023 06:05:00,16.10.2023 06:00:00,514S,2,SPL ,88
S4 8773 ,359031,CSTVF ,A20N,LIS ,S,16.10.2023 06:05:00,16.10.2023 06:20:00,217B,2,GH  ,88
LH 6984 ,358807,CSTVF ,A20N,LIS ,S,16.10.2023 06:05:00,16.10.2023 06:20:00,217B,2,GH  ,88
TP  553 ,359135,CSTVF ,A20N,LIS ,S,16.10.2023 06:05:00,16.10.2023 06:20:00,217B,2,SPL ,88
LH 2412 ,358746,DACNU ,CRJ9,ARN ,S,16.10.2023 06:05:00,16.10.2023 06:00:00,514S,2,SPL ,88
LH  122 ,386613,DAISI ,A321,,N,16.10.2023 06:10:00,16.10.2023 05:41:00,219A,,SPL ,49
LH 1653 ,386640,DAIZP ,A320,,N,16.10.2023 06:10:00,16.10.2023 05:05:00,212B,,GH  ,49
LH 1835 ,386536,DAIDK ,A321,MLA ,N,16.10.2023 06:15:00,16.10.2023 05:41:00,173 ,,GH  ,49
LH 1829 ,386538,DAILB ,A319,,N,16.10.2023 06:15:00,,372B,,GH  ,99
LH 2139 ,386569,DACNA ,CRJ9,,F,16.10.2023 06:20:00,16.10.2023 04:10:00,H41A,,SPL ,88
LH  773 ,386513,DAIXB ,A359,,N,16.10.2023 06:20:00,16.10.2023 07:03:00,353 ,,GH  ,99
MBU6469 ,357831,LYMHL ,A320,HER ,L,16.10.2023 06:20:00,16.10.2023 06:13:00,184 ,1,GH  ,49
LH  587 ,357217,DAIEL ,A21N,CAI ,L,16.10.2023 06:20:00,16.10.2023 06:22:00,253 ,2,GH  ,49
LH 7319 ,357743,B2047 ,B77W,PEK ,L,16.10.2023 06:20:00,16.10.2023 06:48:00,207A,2,GH  ,49
MS 9010 ,357851,DAIEL ,A21N,CAI ,L,16.10.2023 06:20:00,16.10.2023 06:22:00,253 ,2,GH  ,49
CA  961 ,356915,B2047 ,B77W,PEK ,L,16.10.2023 06:20:00,16.10.2023 06:48:00,207A,2,GH  ,49
AC 9003 ,356761,DAIEL ,A21N,CAI ,L,16.10.2023 06:20:00,16.10.2023 06:22:00,253 ,2,SPL ,49
LH 1769 ,389359,DAIEE ,A21N,,F,16.10.2023 06:20:00,16.10.2023 07:36:00,H14T,,GH  ,88
LH  429 ,389361,DAIHP ,A346,,F,16.10.2023 06:20:00,16.10.2023 07:52:00,M12W,,GH  ,88
LH 9925F,386545,DAIRN ,A321,,F,16.10.2023 06:25:00,,324 ,,GH  ,99
LH 2075 ,389355,DAIDJ ,A321,,F,16.10.2023 06:25:00,16.10.2023 07:17:00,M18 ,,GH  ,88
LH  727G,389364,DAIXF ,A359,MUC ,L,16.10.2023 06:25:00,16.10.2023 06:25:00,,2,GH  ,94
LH  727G,389365,DAIXF ,A359,MUC ,S,16.10.2023 06:25:00,16.10.2023 06:25:00,,2,GH  ,94
LH 2000 ,358733,DAINR ,A20N,DUS ,S,16.10.2023 06:30:00,16.10.2023 06:24:00,215A,2,GH  ,88
LH 2216 ,358739,DAIJH ,A20N,TLS ,S,16.10.2023 06:30:00,16.10.2023 06:30:00,317A,2,GH  ,88
LH 1847 ,389353,DAIUU ,A320,,F,16.10.2023 06:30:00,16.10.2023 06:45:00,H12A,,GH  ,88
LH 2139 ,386570,DACNA ,CRJ9,,N,16.10.2023 06:35:00,16.10.2023 04:20:00,341N,,SPL ,49
LH 1808 ,358726,DAISJ ,A321,BCN ,S,16.10.2023 06:35:00,16.10.2023 06:35:00,245 ,2,GH  ,88
LH 2226 ,358740,DAIBA ,A319,CDG ,S,16.10.2023 06:35:00,16.10.2023 06:35:00,302B,2,GH  ,88
SK 3688 ,359064,DAIWK ,A320,CPH ,S,16.10.2023 06:35:00,16.10.2023 06:35:00,248A,2,SPL ,88
LH 2438 ,358747,DAIWK ,A320,CPH ,S,16.10.2023 06:35:00,16.10.2023 06:35:00,248A,2,GH  ,88
LH 1769 ,389360,DAIEE ,A21N,,N,16.10.2023 06:35:00,16.10.2023 07:46:00,H11D,,GH  ,49
LH  429 ,389362,DAIHP ,A346,,N,16.10.2023 06:35:00,16.10.2023 08:02:00,M16W,,GH  ,49
LH  763 ,386482,DAIVC ,A359,,F,16.10.2023 06:40:00,16.10.2023 07:36:00,249A,,GH  ,88
LH 2075 ,386526,DAIDJ ,A321,,F,16.10.2023 06:40:00,,M18 ,,GH  ,99
LH 9925F,386546,DAIRN ,A321,,N,16.10.2023 06:40:00,,217B,,GH  ,99
LH 2300 ,358743,DACNJ ,CRJ9,AMS ,S,16.10.2023 06:40:00,16.10.2023 06:40:00,515S,2,SPL ,88
LH 2075 ,389356,DAIDJ ,A321,,N,16.10.2023 06:40:00,16.10.2023 07:27:00,H12A,,GH  ,49
EN 8323 ,357029,IADJL ,E195,CLJ ,L,16.10.2023 06:45:00,16.10.2023 07:30:00,313 ,2,SPL ,49
LH 2153 ,357512,DACNV ,CRJ9,STR ,L,16.10.2023 06:45:00,16.10.2023 06:29:00,342N,2,SPL ,49
LH 1674 ,358725,DAIJJ ,A20N,BUD ,S,16.10.2023 06:45:00,16.10.2023 06:45:00,201 ,2,GH  ,88
LH 1972 ,358732,DACNV ,CRJ9,CGN ,S,16.10.2023 06:45:00,16.10.2023 07:16:00,342N,2,SPL ,88
LH 2050 ,358735,DAIRL ,A321,HAM ,S,16.10.2023 06:45:00,16.10.2023 06:45:00,213B,2,GH  ,88
LH 7437 ,357748,IADJL ,E195,CLJ ,L,16.10.2023 06:45:00,16.10.2023 07:30:00,313 ,2,SPL ,49
UA 9553 ,358337,DACNV ,CRJ9,STR ,L,16.10.2023 06:45:00,16.10.2023 06:29:00,342N,2,GH  ,49
TP 7657 ,358177,DACNV ,CRJ9,STR ,L,16.10.2023 06:45:00,16.10.2023 06:29:00,342N,2,SPL ,49
LH 1847 ,389354,DAIUU ,A320,DUB ,N,16.10.2023 06:45:00,16.10.2023 06:55:00,606A,,GH  ,49
UA 9204 ,358286,DAIBK ,A319,TSR ,L,16.10.2023 06:50:00,16.10.2023 06:43:00,217B,2,GH  ,49
LH 4923 ,357697,JA880A,B789,HND ,L,16.10.2023 06:50:00,16.10.2023 06:09:00,216 ,2,GH  ,49
SQ 2214 ,358095,DAIBK ,A319,TSR ,L,16.10.2023 06:50:00,16.10.2023 06:43:00,217B,2,GH  ,49
LH 1661 ,357273,DAIBK ,A319,TSR ,L,16.10.2023 06:50:00,16.10.2023 06:43:00,217B,2,GH  ,49
LH 2270 ,358741,DAIBF ,A319,NCE ,S,16.10.2023 06:50:00,16.10.2023 06:50:00,309 ,2,GH  ,88
LH 2282 ,358742,DAIUC ,A320,BRU ,S,16.10.2023 06:50:00,16.10.2023 06:50:00,202B,2,GH  ,88
SN 7050 ,359072,DAIUC ,A320,BRU ,S,16.10.2023 06:50:00,16.10.2023 06:50:00,202B,2,SPL ,88
NH  217 ,357861,JA880A,B789,HND ,L,16.10.2023 06:50:00,16.10.2023 06:09:00,216 ,2,GH  ,49
OS 7464 ,357949,DAIBK ,A319,TSR ,L,16.10.2023 06:50:00,16.10.2023 06:43:00,217B,2,SPL ,49
LH  763 ,386483,DAIVC ,A359,,N,16.10.2023 06:55:00,16.10.2023 07:46:00,356 ,,GH  ,49
LH 2075 ,386527,DAIDJ ,A321,,N,16.10.2023 06:55:00,,215A,,GH  ,99
XQ  987 ,358417,TCSOG ,B738,ADB ,S,16.10.2023 06:55:00,16.10.2023 07:15:00,113B,1,SPL ,88
XY 3005 ,358418,A6BMC ,B78X,AUH ,L,16.10.2023 06:55:00,16.10.2023 06:51:00,118 ,1,GH  ,49
LH 9661 ,357789,A6BMC ,B78X,AUH ,L,16.10.2023 06:55:00,16.10.2023 06:51:00,118 ,1,GH  ,49
LH 9791 ,357790,9VSMC ,A359,SIN ,L,16.10.2023 06:55:00,16.10.2023 07:47:00,212B,2,GH  ,49
SQ  328 ,358067,9VSMC ,A359,SIN ,L,16.10.2023 06:55:00,16.10.2023 07:47:00,212B,2,GH  ,49
LH 2090 ,358738,DAILA ,A319,HAJ ,S,16.10.2023 06:55:00,16.10.2023 06:55:00,210B,2,GH  ,88
UL 2335 ,358355,A6BMC ,B78X,AUH ,L,16.10.2023 06:55:00,16.10.2023 06:51:00,118 ,1,GH  ,49
VA 5574 ,358365,9VSMC ,A359,SIN ,L,16.10.2023 06:55:00,16.10.2023 07:47:00,212B,2,GH  ,49
EY  005 ,357075,A6BMC ,B78X,AUH ,L,16.10.2023 06:55:00,16.10.2023 06:51:00,118 ,1,GH  ,49
OU 5813 ,357978,9VSMC ,A359,SIN ,L,16.10.2023 06:55:00,16.10.2023 07:47:00,212B,2,GH  ,49
LH 9580 ,358850,TCSOG ,B738,ADB ,S,16.10.2023 06:55:00,16.10.2023 07:15:00,113B,1,SPL ,88
NZ 3328 ,357914,9VSMC ,A359,SIN ,L,16.10.2023 06:55:00,16.10.2023 07:47:00,212B,2,GH  ,49
A3 1207 ,356676,9VSMC ,A359,SIN ,L,16.10.2023 06:55:00,16.10.2023 07:47:00,212B,2,GH  ,49
AM 6249 ,358600,PHEZF ,E190,AMS ,S,16.10.2023 07:00:00,16.10.2023 07:00:00,119 ,1,GH  ,88
MU 1594 ,358912,PHEZF ,E190,AMS ,S,16.10.2023 07:00:00,16.10.2023 07:00:00,119 ,1,SPL ,88
QR  059 ,357994,A7ALQ ,A359,DOH ,L,16.10.2023 07:00:00,16.10.2023 07:02:00,110 ,1,GH  ,49
MBU6024 ,358891,LYVUT ,A320,AGP ,S,16.10.2023 07:00:00,16.10.2023 07:00:00,194 ,1,GH  ,88
MF 9376 ,358893,PHEZF ,E190,AMS ,S,16.10.2023 07:00:00,16.10.2023 07:00:00,119 ,1,GH  ,88
LH 3821 ,357689,,BUS ,AUB ,L,16.10.2023 07:00:00,,,2,GH  ,01
UA 9135 ,358274,DAIWI ,A320,SOF ,L,16.10.2023 07:00:00,16.10.2023 07:04:00,244 ,2,GH  ,49
AI 7920 ,358589,SPLIC ,E75S,WAW ,S,16.10.2023 07:00:00,16.10.2023 07:00:00,208 ,2,GH  ,88
LH 2183 ,357520,DACNW ,CRJ9,PAD ,L,16.10.2023 07:00:00,16.10.2023 06:54:00,343N,2,SPL ,49
GA 9373 ,358683,PHEZF ,E190,AMS ,S,16.10.2023 07:00:00,16.10.2023 07:00:00,119 ,1,GH  ,88
KL 1790 ,358700,PHEZF ,E190,AMS ,S,16.10.2023 07:00:00,16.10.2023 07:00:00,119 ,1,SPL ,88
SQ 2208 ,358093,DACNK ,CRJ9,SBZ ,L,16.10.2023 07:00:00,16.10.2023 07:10:00,344N,2,GH  ,49
SQ 2212 ,358094,DAIWI ,A320,SOF ,L,16.10.2023 07:00:00,16.10.2023 07:04:00,244 ,2,GH  ,49
LH  727 ,357227,DAIXF ,A359,PVG ,L,16.10.2023 07:00:00,16.10.2023 06:40:00,255 ,2,GH  ,49
LH 1667 ,357277,DACNK ,CRJ9,SBZ ,L,16.10.2023 07:00:00,16.10.2023 07:10:00,344N,2,SPL ,49
6Y  355 ,358419,9HHYA ,B38M,HRG ,S,16.10.2023 07:00:00,16.10.2023 07:10:00,185 ,1,SPL ,88
VA 6159 ,358367,A7ALQ ,A359,DOH ,L,16.10.2023 07:00:00,16.10.2023 07:02:00,110 ,1,GH  ,49
LH 1928 ,358730,DAIZP ,A320,BER ,S,16.10.2023 07:00:00,16.10.2023 07:10:00,212B,2,GH  ,88
WY 6239 ,358393,A7ALQ ,A359,DOH ,L,16.10.2023 07:00:00,16.10.2023 07:02:00,110 ,1,GH  ,49
LH  093 ,358721,DAISI ,A321,FRA ,S,16.10.2023 07:00:00,16.10.2023 07:05:00,219A,2,SPL ,88
LH 1610 ,358724,DACNG ,CRJ9,WAW ,S,16.10.2023 07:00:00,16.10.2023 07:05:00,232 ,2,SPL ,88
UA 9490 ,358334,DACNW ,CRJ9,PAD ,L,16.10.2023 07:00:00,16.10.2023 06:54:00,343N,2,GH  ,49
SK 3749 ,358038,DAIWI ,A320,SOF ,L,16.10.2023 07:00:00,16.10.2023 07:04:00,244 ,2,SPL ,49
CZ 7674 ,358650,PHEZF ,E190,AMS ,S,16.10.2023 07:00:00,16.10.2023 07:00:00,119 ,1,GH  ,88
DL 9582 ,358664,PHEZF ,E190,AMS ,S,16.10.2023 07:00:00,16.10.2023 07:00:00,119 ,1,GH  ,88
UL 3594 ,358357,A7ALQ ,A359,DOH ,L,16.10.2023 07:00:00,16.10.2023 07:02:00,110 ,1,GH  ,49
CA 6111 ,358630,DAIZP ,A320,BER ,S,16.10.2023 07:00:00,16.10.2023 07:10:00,212B,2,GH  ,88
AC 9278 ,358507,DAISI ,A321,FRA ,S,16.10.2023 07:00:00,16.10.2023 07:05:00,219A,2,SPL ,88
LH 1707 ,357301,DAIWI ,A320,SOF ,L,16.10.2023 07:00:00,16.10.2023 07:04:00,244 ,2,GH  ,49
UA 8727 ,358236,DACNK ,CRJ9,SBZ ,L,16.10.2023 07:00:00,16.10.2023 07:10:00,344N,2,GH  ,49
MH 9221 ,357843,A7ALQ ,A359,DOH ,L,16.10.2023 07:00:00,16.10.2023 07:02:00,110 ,1,GH  ,49
LH 5718 ,358784,SPLIC ,E75S,WAW ,S,16.10.2023 07:00:00,16.10.2023 07:00:00,208 ,2,SPL ,88
NH 7891 ,357912,DAIWI ,A320,SOF ,L,16.10.2023 07:00:00,16.10.2023 07:04:00,244 ,2,GH  ,49
TP 7545 ,358162,DAIWI ,A320,SOF ,L,16.10.2023 07:00:00,16.10.2023 07:04:00,244 ,2,SPL ,49
LO  376 ,358859,SPLIC ,E75S,WAW ,S,16.10.2023 07:00:00,16.10.2023 07:00:00,208 ,2,GH  ,88
CA 6227 ,356929,DAIXF ,A359,PVG ,L,16.10.2023 07:00:00,16.10.2023 06:40:00,255 ,2,GH  ,49
AA  716 ,356727,790AN ,B772,CLT ,L,16.10.2023 07:00:00,16.10.2023 07:27:00,164 ,1,SPL ,49
AC 9522 ,356833,DAIWI ,A320,SOF ,L,16.10.2023 07:00:00,16.10.2023 07:04:00,244 ,2,SPL ,49
IB 4971 ,357110,790AN ,B772,CLT ,L,16.10.2023 07:00:00,16.10.2023 07:27:00,164 ,1,SPL ,49
AY 4193 ,356889,790AN ,B772,CLT ,L,16.10.2023 07:00:00,16.10.2023 07:27:00,164 ,1,SPL ,49
BA 1632 ,356904,790AN ,B772,CLT ,L,16.10.2023 07:00:00,16.10.2023 07:27:00,164 ,1,SPL ,49
LH 2143 ,357504,DACNH ,CRJ9,FMO ,L,16.10.2023 07:05:00,16.10.2023 06:49:00,234 ,2,SPL ,49
UA 9418 ,358313,DACNH ,CRJ9,FMO ,L,16.10.2023 07:05:00,16.10.2023 06:49:00,234 ,2,GH  ,49
TG  924 ,358112,HSTHP ,A359,BKK ,L,16.10.2023 07:05:00,16.10.2023 08:13:00,219A,2,GH  ,49
TP 7551 ,358165,DACNH ,CRJ9,FMO ,L,16.10.2023 07:05:00,16.10.2023 06:49:00,234 ,2,SPL ,49
UA 9293 ,358305,IADJS ,E195,MXP ,L,16.10.2023 07:10:00,16.10.2023 07:17:00,310 ,2,GH  ,49
UA 9217 ,358290,DAIUE ,A320,OTP ,L,16.10.2023 07:10:00,16.10.2023 07:06:00,245 ,2,GH  ,49
LH 1655 ,357267,DAIUE ,A320,OTP ,L,16.10.2023 07:10:00,16.10.2023 07:06:00,245 ,2,GH  ,49
SK 3741 ,358037,DAIUE ,A320,OTP ,L,16.10.2023 07:10:00,16.10.2023 07:06:00,245 ,2,SPL ,49
LH 1863 ,357376,IADJS ,E195,MXP ,L,16.10.2023 07:10:00,16.10.2023 07:17:00,310 ,2,SPL ,49
NH 6128 ,357897,IADJS ,E195,MXP ,L,16.10.2023 07:10:00,16.10.2023 07:17:00,310 ,2,GH  ,49
TP 7559 ,358166,DAIUE ,A320,OTP ,L,16.10.2023 07:10:00,16.10.2023 07:06:00,245 ,2,SPL ,49
AC 9616 ,356844,IADJS ,E195,MXP ,L,16.10.2023 07:10:00,16.10.2023 07:17:00,310 ,2,SPL ,49
AC 9737 ,356849,DAIUE ,A320,OTP ,L,16.10.2023 07:10:00,16.10.2023 07:06:00,245 ,2,SPL ,49
LH  715 ,386577,DAIXI ,A359,,F,16.10.2023 07:15:00,16.10.2023 14:10:00,204A,,GH  ,99
LH  743 ,386579,DAIXG ,A359,,F,16.10.2023 07:15:00,16.10.2023 10:25:00,H15N,,GH  ,99
GF 6060 ,371798,TCJRV ,A321,IST ,S,16.10.2023 07:15:00,16.10.2023 07:10:00,188 ,1,GH  ,88
MK 9409 ,358904,FHZUO ,BCS3,CDG ,S,16.10.2023 07:15:00,16.10.2023 08:10:00,120 ,1,GH  ,88
UA 6914 ,359206,TCJRV ,A321,IST ,S,16.10.2023 07:15:00,16.10.2023 07:10:00,188 ,1,GH  ,88
AF 1123 ,358585,FHZUO ,BCS3,CDG ,S,16.10.2023 07:15:00,16.10.2023 08:10:00,120 ,1,SPL ,88
AM 5723 ,358593,FHZUO ,BCS3,CDG ,S,16.10.2023 07:15:00,16.10.2023 08:10:00,120 ,1,GH  ,88
LH  437 ,357202,DAIXJ ,A359,ORD ,L,16.10.2023 07:15:00,16.10.2023 07:01:00,201 ,2,GH  ,49
KQ 3027 ,358714,FHZUO ,BCS3,CDG ,S,16.10.2023 07:15:00,16.10.2023 08:10:00,120 ,1,GH  ,88
WS 5046 ,359355,FHZUO ,BCS3,CDG ,S,16.10.2023 07:15:00,16.10.2023 08:10:00,120 ,1,GH  ,88
DL 8453 ,358661,FHZUO ,BCS3,CDG ,S,16.10.2023 07:15:00,16.10.2023 08:10:00,120 ,1,GH  ,88
TK 1638 ,359133,TCJRV ,A321,IST ,S,16.10.2023 07:15:00,16.10.2023 07:10:00,188 ,1,GH  ,88
UA 8747 ,358237,DAIXJ ,A359,ORD ,L,16.10.2023 07:15:00,16.10.2023 07:01:00,201 ,2,GH  ,49
LH 2470 ,358748,DAINO ,A20N,LHR ,S,16.10.2023 07:15:00,16.10.2023 07:15:00,301B,2,GH  ,88
AC 9536 ,356835,DAIXJ ,A359,ORD ,L,16.10.2023 07:15:00,16.10.2023 07:01:00,201 ,2,SPL ,49
LH 1771 ,386548,DAIUV ,A320,,F,16.10.2023 07:20:00,,325 ,,GH  ,99
CA  961 ,386474,B2047 ,B77W,,F,16.10.2023 07:20:00,16.10.2023 07:58:00,207A,,GH  ,88
EN 8268 ,357030,IADJS ,E195,MXP ,S,16.10.2023 07:20:00,16.10.2023 08:00:00,310 ,2,SPL ,88
BA  947 ,358617,GEUOG ,A319,LHR ,S,16.10.2023 07:20:00,16.10.2023 07:25:00,112 ,1,SPL ,88
LH 2559 ,357683,DAIEJ ,A21N,TBS ,L,16.10.2023 07:20:00,16.10.2023 07:13:00,220B,2,GH  ,49
LH 5319 ,357698,DAEWO ,A320,DTM ,L,16.10.2023 07:20:00,16.10.2023 06:57:00,119 ,1,GH  ,49
UA 9143 ,358275,DAILY ,A319,BUD ,L,16.10.2023 07:20:00,16.10.2023 07:21:00,323 ,2,GH  ,49
JL 7796 ,358694,GEUOG ,A319,LHR ,S,16.10.2023 07:20:00,16.10.2023 07:25:00,112 ,1,GH  ,88
SQ 2206 ,358092,DACNQ ,CRJ9,POZ ,L,16.10.2023 07:20:00,16.10.2023 07:18:00,346N,2,GH  ,49
SQ 2228 ,358096,DACNT ,CRJ9,WRO ,L,16.10.2023 07:20:00,16.10.2023 07:14:00,345N,2,GH  ,49
LH 1683 ,357285,DAILY ,A319,BUD ,L,16.10.2023 07:20:00,16.10.2023 07:21:00,323 ,2,GH  ,49
LH 1627 ,357247,DAIWG ,A320,KRK ,L,16.10.2023 07:20:00,16.10.2023 07:25:00,317B,2,GH  ,49
SN 7138 ,358056,DAIWG ,A320,KRK ,L,16.10.2023 07:20:00,16.10.2023 07:25:00,317B,2,SPL ,49
LO 5395 ,357808,DACNQ ,CRJ9,POZ ,L,16.10.2023 07:20:00,16.10.2023 07:18:00,346N,2,GH  ,49
LO 5405 ,357809,DACNT ,CRJ9,WRO ,L,16.10.2023 07:20:00,16.10.2023 07:14:00,345N,2,GH  ,49
LO 5407 ,357810,DAIWG ,A320,KRK ,L,16.10.2023 07:20:00,16.10.2023 07:25:00,317B,2,GH  ,49
SQ 1844 ,358069,DAEWO ,A320,DTM ,L,16.10.2023 07:20:00,16.10.2023 06:57:00,119 ,1,GH  ,49
SQ 2134 ,358080,DAIWG ,A320,KRK ,L,16.10.2023 07:20:00,16.10.2023 07:25:00,317B,2,GH  ,49
UA 9433 ,358318,DAIWG ,A320,KRK ,L,16.10.2023 07:20:00,16.10.2023 07:25:00,317B,2,GH  ,49
SK 3575 ,358021,DAILY ,A319,BUD ,L,16.10.2023 07:20:00,16.10.2023 07:21:00,323 ,2,SPL ,49
